S011815.BestBees,Common Name
0.2324,Sub-family of rose family
0.0801,peacock flower sub-family 
0.0688,clovers
0.0654,Nepeta supina
0.0392,low hop clover
0.0256,prosopis
0.0193,pines
0.0142,panicled hydrangea
0.0109,false poison sumac
