S017407,Common Name
0.178,clovers
0.1076,asparagus
0.0973,pines
0.0848,Waterlilies
0.0453,wax tree
0.0408,trefoils or deervetches
0.0327,sumac
0.0287,dogbane family
0.0256,rose family
0.0238,Cornales
0.0229,hollies
0.0152,Melilotus albus
0.013,muksmellon
0.0126,oaks
0.0296,Unknown
