S017402,Common Name
0.1165,Grasses family
0.1049,buckthorns family
0.1271,common barley
0.0261,pines
0.0237,clovers
0.0226,madder family
0.0215,mallow family
0.0198,Polygonum humifusum
0.0187,cucumis
0.0159,Ceratonia
0.0156,oats
0.0123,Oxygonum sinuatum
0.0109,trefoils or deervetches
0.2983,Unknown
