S011849.BestBees.1,Common Name
0.2054,Privets
0.101,Pines
0.0883,low hop clover
0.0721,wild privet
0.0504,Sub-family of rose family
0.0176,bridal-wreaths
0.0138,Grapes family
0.011,roses
