S011832..Best Bees,Common Name
0.2987,common reed
0.0597,giant knotweed
0.0496,goosefoots
0.0486,aster family
0.0229,seaport goosefoot
0.0213,ginseng family
0.0157,crofton weed
0.0135,hawkbits
0.013,Sub-family of knotweed family
0.0122,yarrow
0.0112,plantains
0.0104,small crabgrass
