S011805,Common Name
0.0512,Hollies
0.0333,Clovers
0.0228,False poison sumac
0.022,Gourd family
0.0203,Laurel family
0.0183,Soybean
0.0174,White sweet clover
0.0162,Daisy Family
0.0155,Peanut
0.015,Plantains
0.0116,Roses sub-family
