S005727.BestBees,Common Name
0.1242,Hemlock
0.0401,Citrus Family
0.0397,Pine
0.036,Oak
0.0329,Scrub Oak
0.032,Buckthorns
0.0286,Japanese Hemlock
0.0271,Poison Sumacs
0.0184,Apple Family
0.0172,Buckthorns
0.016,Bittersweet Family
0.0117,Birchleaf Buckthorn
