S017752,Common Name
0.1229,knotweed
0.0756,Cashews family
0.0625,ginseng family
0.0388,Chinese Knotweed
0.0187,Cucurbit family
0.0177,Cucumis x hytivus
0.0167,Melilotus albus
0.0163,"Legume, pea or bean family"
0.0143,passionflowers
0.014,rose family
0.0135,Persicaria amphibia
0.0131,stonefruits
0.0453,Unknown
