S011808.BestBees,Common Name
0.088,Bear Oak
0.0798,yarrow
0.0713,longroute smartweed
0.0691,Daisy family
0.0567,cool season grasses
0.0536,pea
0.0321,waterlillies
0.0238,oaks
0.0217,pin oak
0.0181,cucurbit
0.0181,Humulus yunnanensis
0.0152,marijuana 
0.0114,hollies
0.0104,Sub-family of daisy family
