S011829.BestBees,Common Name
0.0629,Yunnan Hop
0.0565,maples
0.0554,stonefruits
0.0459,oaks
0.0447,impatiens
0.0443,daisy family
0.0383,buckthorns
0.0338,bear oak
0.0323,pea
0.0296,willows
0.0257,bittersweet family
0.0187,sub-family of rose family
0.0176,greater celandine
0.0161,orange jewelweed
0.0137,honeysuckles
0.0131,Acer stachyophyllum
0.0109,peacock flower sub-family
0.0104,yarrow
