S017415,Common Name
0.1398,roses
0.1323,muskmellon
0.0786,pines
0.0575,dogwoods
0.056,wax tree
0.0375,hollies
0.0371,buckthorns
0.0329,rose family
0.0327,black locust
0.0296,pink family
0.0287,grass family
0.0234,walnut family
0.0175,buckthorn family
0.013,radish
0.013,stonefruits
0.0126,"Legume, pea or bean family"
0.0123,fasle indigo
0.012,tree of heaven
0.0119,Privets
0.0103,Annamocarya sinensis
