S017756,Common Name
0.0701,tree of heaven
0.0548,clovers
0.047,Privets
0.0413,lindens
0.0268,Cucumis x hytivus
0.0191,Sumac
0.0162,Plantains
0.012,Grasses family
0.0104,elders
0.0103,buckthorns family
0.0101,"Legume, pea or bean family"
0.0491,Unknown
