S011816.BestBees,Common Name
0.1381,low hop clover
0.1377,panicled hydrangea
0.0715,crownvetch
0.0437,Linden
0.0245,grapes family
0.0204,Sub-family of rose family
0.0151,Japanese Hydrangea Vine
0.0149,fescues
