S011871.BestBees.1,Common Name
0.2205,Soybean
0.0976,Bear Oak
0.0531,Oak
0.0509,Grasses
0.0492,Rose
0.0251,Greene's Tuctoria
0.0251,Chinese Tupelo
0.0222,Swamp Spanish Oak
0.0161,Clover
0.0102,Maple
