S005710.BestBees,Common Name
0.1477,Hollies
0.0951,Grasses
0.0609,Peacock sub-family
0.042782305,False poison sumac
0.034002716,Clovers
0.025999224,Low hop clover
0.021585177,Snowberries
0.02056655,Lindens
0.0175,Roses
0.0164,Chokecherries
0.0138,Red raspberry
0.01314513,Catmint species
0.011495925,Sumcas
0.010865347,Foxtails
0.010671323,Bear Oak
0.0104,Staghorn sumac
