S005769.BestBees.1,Common Name
0.1321,Pines
0.1187,buckthorns
0.0786,clovers
0.071,Sub-family of rose family
0.0489,honeysuckles
0.0242,Vetches
0.0238,California coffeeberry
0.0171,Birchleaf Buckthorn
0.0146,pecan
0.0122,Alder Buckthorn
0.0119,stonefruits
0.0112,bear oak
