S005721.BestBees,Common Name
0.1373,European chestnut
0.1109,Begonias
0.0743,Grapes Family
0.0554,Pines
0.0548,Chestnuts
0.0434,Duabanga grandiflora
0.0401,Crepe myrtle
0.0318,Magnolias
0.0203,Begonia herbacea
0.0176,Alpine rose
0.0167,Chinese chestnut
0.0154,Cypresses genus
0.0145,Climbing plant species in the grape family
0.0105,Castanopsis carlesii
