S011897,Common Name
0.1712,pines
0.0881,Privets
0.0772,rose family
0.0673,clovers
0.0524,"Legume, pea or bean family"
0.0345,buckthorns family
0.0323,locusts
0.0293,barleys
0.0273,Ailanthus
0.0266,Chinese hickory
0.0216,oats
0.0201,Daisy family
0.0179,Willows
0.0161,Mallows
0.0149,Plantains
0.0144,oaks
0.0137,trefoils or deervetches
