S011874.BestBees.1,Common Name
0.1214,peacock flower sub-family 
0.0686,bear oak
0.038,Poision oak
0.0346,pecan
0.0344,locusts
0.0342,Apple Sub-family
0.0328,Daisy family
0.0262,stonefruits
0.026,magnolias
0.0205,buckthorns
0.0183,Bittersweet
0.0178,pin oak
0.0176,honeysuckles
0.0162,Sub-family of rose family
0.0156,clovers
0.0152,Walnut Family
0.0136,oaks
0.011,Actinidia
