S011891,Common Name
0.2839,fireweed
0.0907,Rhododendrons
0.0852,Pines
0.0431,Willows
0.0397,alder
0.0382,bridal-wreaths
0.0238,stonefruits
0.0212,evening primroses
0.0208,Poplar Trees
0.0162,Potentilla alchemilloides
