S011818.BestBees,Common Name
0.2125,cheeseweed
0.0782,Cucumber family
0.0464,lemonyellow rosemallow
0.045,Sub-family of grass family
0.0393,wild hop
0.0364,soybean
0.0204,clovers
0.0196,lindens
0.0178,Sub-family of the aster family
0.0156,burningbush
