S011889,Common Name
0.1643,Cucumis x hytivus
0.0938,clovers
0.0739,asparagus
0.073,medics
0.0549,momordica
0.0332,Cucurbit family
0.0299,"Legume, pea or bean family"
0.027,Nepeta sp. BSh-2015
0.0257,Plantains
0.0183,fireweed
0.0164,Daisy family
0.0164,tree of heaven
0.0163,sumac
0.0143,Melilotus albus
0.014,Xanthoceras sorbifolium
0.0119,straggling St. Johnswort
0.0114,wax tree
0.0344,Unknown
