BestBees_S011886.1,Common Name
0.1136,Peacock Flower Sub-family
0.0646,Locusts
0.0464,Clovers
0.0344,Oaks
0.0281,European Smoketree
0.0261,Alpine Rose
0.022,Apple Sub-family
0.022,Maples
0.0153,Cornaceae Order
0.0153,Plantains
0.0149,Hollies
0.0133,Low-hop Clover
0.0131,Roses
0.0113,Honeysuckles
0.0105,Greater Celandine
0.0104,Privets
