S0011817.BestBees,Common Name
0.1033,Subfamily of  peacock flower family 
0.0805,Sub-family of the legume family
0.0688,lindens
0.0376,Cashews family
0.03,Cucumber family
0.0297,Sub-family of rose family
0.0294,soybean
0.0276,chokecherries
0.027,birches
0.0243,Guinea grass
0.0228,Grapes family
0.0165,Sub-family of the aster family
0.0165,oaks
0.0162,Sub-family of grass family
0.0141,Grasses order
0.0129,golden rain tree
0.0114,sesamum
0.0102,musa
