BestBees_S011899.1,Common Name
0.0869,Bear Oak
0.0753,Oaks
0.0744,Honeysuckles
0.066,Clovers
0.0513,Poison Sumacs
0.0492,Walnuts
0.0467,Stonefruits
0.0381,Greater Celandine
0.0366,Daisies
0.0363,Peacock Flower Sub-family
0.031,Crofton Weed
0.0292,Buckthorns
0.0235,Pea Family
0.0231,Pin Oak
0.0228,Croton Kilwae
0.0204,Waterlilies
0.0201,Pines
0.0201,Pecan
0.0144,Rose Family
0.0137,Lonicera Xylosteum
0.0119,Poissonia Heterantha
0.0113,Roses
0.0104,Hillside Blueberry
