S011820.BestBees,Common Name
0.0785,Privets
0.0746,Waterlilies
0.0624,Daisy family
0.0539,Magnolias
0.0513,prim
0.0466,pears
0.0462,panicled hydrangea
0.0423,Sub-family of rose family
0.04,Cashews family
0.0362,St. John’s Wort
0.0169,sweetbay magnolia
0.0149,Limonium lanceolatum
0.014,hydrangeas
0.0126,European pear
