S017762,Common Name
0.1291,
0.1021,
0.0852,
0.0667,
0.0441,
0.0298,
0.0261,
0.0261,
0.0209,
0.0194,
0.0169,
0.0167,
0.0163,
0.0154,
0.0122,
0.012,
0.0111,
