S011831,Common Name
0.1663,Sub-family of the madder family
0.0842,crown grasses
0.0712,clovers
0.061,daisy family
0.0491,asparagus
0.0239,buckwheat
0.017,Sub-family of grass family
0.0167,bur-reeds
0.0158,low hop clover
0.0118,panicled hydrangea
0.0104,Fleroya rubrostipulata
