S011856.BestBees.1,Common Name
0.1081,Pondweed
0.0601,Ribbonweed
0.0476,False Solomon's-Seal
0.0459,Mexican False Yucca
0.0385,Japanese Knotweed
0.0356,Black Cohosh
0.0289,Giant Knotweed
0.0287,Polygonum
0.025,Daisy
0.0243,Peat Moss
0.0216,Knotweed
0.017,Bugbane
0.0169,Baneberry
0.0166,Multiflowered Buttercup
0.014,Buttercup
0.0114,Umbellifers
0.0101,Mexican Devil
