S005713BestBees,Common Name
0.16891,American Birds-Foot Trefoil
0.04896,Signalgrass Species
0.0294,Thorn Tree
0.02693,Prekese
0.0269,Moorochloa Eruciformis
0.022,Grasses sub-family
0.0208,Peacockflower sub-family
0.01591,Hairy acacia
0.01469,Pentaclethra eetveldeana
0.01346,Cylicodiscus gabunesis
0.01102,Piptadenia floribunda
0.01102,Signalgrass Species
