S017401,Common Name
0.125,pines
0.036,Daisy family
0.035,clovers
0.027,Oxygonum sinuatum
0.022,asparagus
0.021,Potentilla
0.018,rose family
0.018,trefoils or deervetches
0.016,Willows
0.015,oaks
0.015,barleys
0.19,Unknown
