S017405,Common Name
0.1593,muksmellon
0.1297,asparagus
0.126,pines
0.1125,Waterlilies
0.0458,dogbane family
0.0182,hollies
0.0175,trefoils or deervetches
0.0158,sumac
0.0148,"Legume, pea or bean family"
0.0103,Melilotus albus
0.0103,Brasenia schreberi
0.0295,Unknown
