S0011806BestBees,Common Name
0.15217,white bryony
0.0707,Himalayan Butterfly Bush
0.057,Daisy family
0.05285,Mimosa similis Britton & Rose
0.05109,Waterlillies
0.04913,Currents
0.04845,Indian Grasses
0.03347,Mouse-ear hawkweed
0.02621,Boraginales family
0.02378,Grapes
0.0229,Soapwort
0.01916,Japanese snake gourd
0.01652,Hurricane grass
0.0148,Bryony species
0.0148,cucumber family
0.01233,Sanddune unicorn-plant
