S005722,Common Name
0.1231,mountain avens
0.1195,Chinquapin
0.0937,Roundlead yellow violet
0.0659,Dearfoot
0.0624,Beardtounges
0.0417,Asters sub-family
0.0378,Roses sub-family
0.0353,Sulfurflower buckwheat
0.0273,Nightshades subfamily
0.0252,Oask
0.024,Chokecherries
0.022,Golden oat grass
0.0192,Beech Family
0.0192,Mountain Mahogany
0.014,Beach plum
0.0111,Ragworts and groundsels
