BestBees.S011840.,Common Name
0.0839,stonefruits
0.055,Sub-family of rose family
0.0543,evergreen coniferous trees
0.0516,maples
0.0514,ebony family
0.0433,pines
0.0364,magnolias
0.0286,clovers
0.0277,pussy willow
0.0264,timothy grass
0.0256,Chinese Tupelo
0.0253,bear oak
0.0244,golden oat grass
0.0243,bromes
0.0205,giant star grass
0.0182,musa
0.0161,junipers
0.0147,small crabgrass
0.0137,permission trees
0.013,needle-and-thread grass
0.0107,snowberries
0.0106,hairy vetch
0.0105,pin oak
