S011846,Common Name
0.1517,pines
0.0751,buckwheat family
0.0604,medick
0.0541,Oxygonum sinuatum
0.0453,Willows
0.044,purple horn toothed moss
0.0437,junipers
0.0394,hydrangeas
0.0394,Grasses family
0.036,mallows
0.0277,Sub-family of nightshade family
0.0266,peas
0.0256,"Legume, pea or bean family"
0.0229,Bromus remotiflorus
0.0119,Bromes
