S017757,Common Name
0.1613,water-lily family
0.1072,Pines
0.0552,clovers
0.0358,Cashews
0.0331,Knotweeds family
0.0261,Prairie Dropseeds
0.0251,rose family
0.0224,needle-and-thread grass
0.0211,Etrusca honeysuckle
0.0204,Willows
0.0186,fir trees
0.0186,oryza
0.0179,Laurel family
0.0172,Aloe vera
0.0164,oaks
0.0117,China root
0.0102,mustard family
0.1448,Unknown
