S017403,Common Name
0.1612,stonefruits
0.1339,oaks
0.1322,maples
0.0928,honeysuckles
0.037,Daisy family
0.021,Annamocarya sinensis
0.02,
0.0144,Bittersweet family
0.0137,Willows
0.0123,silverberries
0.0104,Pines
