S011821.BestBees,Common Name
0.1602,peacock flower subfamily
0.144,solanum
0.1118,lindens
0.0806,clovers
0.0554,tomato
0.0431,false indigo
0.0413,maples
0.0287,Bear Oak
0.0275,St. John’s Wort
0.0243,low hop clover
0.024,Sub-family of rose family
0.0217,Grapes family
0.011,Viburnums
