S005704.BestBees,Common Name
0.0653,Grapes Family
0.0514,Plantains
0.02808,american bird's-foot trefoil
0.0259,African feather grass
0.019,Daisey Family
0.014,Clovers
0.0139,Madder sub-family
0.0132,Grasses sub-family
0.0126,Cucumber Family
0.01215,mouse-ear chickweeds
