S017751,Common Name
0.1476,Pines
0.117,oaks
0.1035,stonefruits
0.0489,buckthorns family
0.0435,rose family
0.0345,Oleaceae order
0.0331,Eucalyptus
0.0257,Coreanomecon hylomeconoides
0.0147,Oxygonum sinuatum
0.0144,Laurel family
0.0123,Myrtle family
0.127,Unknown
