S005705BestBees,Common Name
0.1143,Clovers
0.0858,Daisy Family
0.0498,Roses sub-family
0.0431,Castanopsis carlesii
0.03809,Privets
0.03604,low hop clover
0.02911,sweetbay magnolias
0.02847,small crabgrass
0.0259,barnyard grass
0.0241,St. John's wort
0.0225,Asters sub-family
0.0221,fescue
0.02014,golden oat grass
0.01924,Eugenia cucullata
0.0174,Plantains
0.01642,zigzag groundsmoke
0.01629,Prim
0.0162,Oaks
0.01398,Chilean glory-flower
0.0117,Alliums
0.01039,Rose of Sharon
