S005711.BestBees,Common Name
0.1278,European Smoketree
0.0836,Pecan
0.0652,Clovers
0.0648,Oaks
0.0338,Chinese Tupelo
0.031,Rose Family
0.0283,Ponic Rhododendron
0.0248,Scrub Oak
0.0162,Bittersweets
0.0161,Honeysuckles
0.0157,Fescues
0.0147,Pines
0.0144,Poison Sumacs
0.0131,Lupines
0.0116,Greater Celandine
0.0113,Bittersweet Family
