S011872.BestBees.1,Common Name
0.0939,Oak
0.0855,Swamp Spanish Oak
0.0785,Rose
0.0515,Pine
0.0447,Hillside Blueberry
0.0361,Greenbriers
0.028,American Sweetgum
0.0244,Magnolia
0.0227,Sweetgum
0.016,Hemlocks
0.0122,Quercus Castanea
0.0107,Prunus
