S011843.BestBees,Common Name
0.1883,Sub-family of grass family
0.0722,pin oak
0.0564,cool season grasses     
0.0518,Sub-family of the aster family
0.0205,sulphurflower buckwheat
0.0192,stonefruits
0.0183,small crabgrass
0.018,Mexican oak species
0.0121,Clovers
0.011,Oak species
0.0107,golden oat grass
