BestBees_S011888.1,Common Name
0.1583,Apple Sub-family
0.109,bladder campion
0.0587,clovers
0.0581,maples
0.0486,pines
0.038,European smoketree
0.0368,sea campion
0.0329,locusts
0.0212,Poision Sumacs
0.0208,Sub-family of the pea family
0.0203,Species of silverberry
0.0186,bear oak
0.0183,mullberries
0.0182,Potentilla
0.017,magnolia-bark
0.0169,showy mullein
0.016,Cucurbit family
0.0143,Species of King Solomon's-seal
0.0128,bridal-wreaths
0.0115,white bryony
0.0101,Privets
