S011812.BestBees,Common Name
0.0814,clovers
0.063,Cucurbit family
0.0576,Plantains
0.0556,white sweet clover
0.0475,Swartzia laevicarpa
0.0343,white bryony
0.0262,panicled hydrangea
0.0257,swartzias
0.0201,Australian chestnut
0.0189,low hop clover
0.0179,Bryonia aspera
0.0163,Daisy family
0.016,Sub-family of rose family
0.0155,Grapes family
0.0154,Subfamily of  peacock flower family 
0.0154,bitter melon
0.012,Sub-family of nightshade family
0.0117,sulphurflower buckwheat
0.0105,Angylocalyx sp. Pennington s.n.
