S005761BestBees,Common Name
0.091,Roses
0.077,Red Raspberries
0.0737,Pines
0.06885,Bear Oak
0.05916,Southern Japenese Hemlock
0.0434,Clovers
0.0365,Daisey
0.0319,Vetches
0.02046,Maples
0.01906,Low-hop clover
0.0189,Oleaceae
0.01881,Pin oak
0.0131,Grasses
0.0107,Birches
0.01001,Genus in the mustard family
