S005720BestBees,Common Name
0.0747,white sweet clover
0.07423,Lindens
0.07032,panicled hydrangea
0.0643,Pines
0.0468,Grapes
0.0445,sweet autumn clematis
0.03567,Roses
0.0351,Magnolia
0.0325,Western Cypress
0.02644,Deer-foot
0.02067,Sutera Hispida
0.01648,Hydrangea
0.0163,Clovers
0.016,Clametis brevicaudata
0.01531,Privets
0.015,Himalayan Butterfly Bush
0.01353,European Chestnut
