S011869,Common Name
0.0639,Pseudoroegneria strigosa
0.0603,Persicaria amphibia
0.0593,hollies
0.0505,wax tree
0.0496,pines
0.048,Rhamnella franguloides
0.0461,junipers
0.042,Grasses family
0.0397,fireweed
0.0371,"Legume, pea or bean family"
0.035,evergreen coniferous trees
0.0313,Cucumis x hytivus
0.0274,water-lily family
0.0257,rose family
0.0243,Kousa dogwood
0.0115,devil's walkingstick
0.0109,Walnut Family
0.0103,Cucurbit family
0.2171,Unknown
