S011850.BestBees.1,Common Name
0.1171,Sub-family of rose family
0.0628,Chinese Tupelo
0.0568,magnolias
0.0475,clovers
0.0232,trefoils or deervetches
0.0212,pecan
0.0193,roses
0.0161,Privets
0.0148,bridal-wreaths
0.0139,peacock flower sub-family 
0.0138,greater celandine
0.0116,gymnosperm shrubs
0.011,Holly family
