BestBees_S011880.1,Common Name
0.1516,lindens
0.0937,low hop clover
0.0726,Pines
0.0696,Oaks
0.0671,peacock flower sub-family 
0.034,Plantains
0.0318,Privets
0.0257,red raspberry
0.0191,Cucurbit family
0.0151,cool season grasses
0.0139,Sub-family of the aster family
0.0134,white bryony
0.0127,Poision Sumacs
