BestBees.S011852.1,Common Name
0.0899,golden rain tree
0.0881,redosier dogwood
0.0862,low hop clover
0.0824,Willow family
0.054,Ba Bao Shu
0.0351,Harpachne schimperi
0.0348,pussy willow
0.0336,sedges
0.0192,crape myrtle
0.0156,stonefruits
0.0112,Lagerstroemia langkawiensis
0.0106,apricot
