S011813,Common Name
0.1153,tansymustards
0.093,Mimosoideae
0.0811,sulphurflower buckwheat
0.053,stonefruits
0.0447,mountains avens
0.043,grasses sub-family
0.039,needlegrasses
0.0347,longroot smartweed
0.0337,asters sub-family
0.0306,fescue
0.0297,roses sub-family
0.0293,small crabgrass
0.0275,Cypress Family
0.0183,Aristida kenyensis
0.0168,Merriam's alumroot
0.0167,clovers
0.015,alpine currant
0.0142,"Legume, pea or bean family"
0.0127,snowberries
0.0122,compact brome
0.0106,Pines
0.0105,golden oat grass
