S011855.BestBees.1,Common Name
0.0725,ginseng family
0.0676,Chinese Tupelo
0.0393,junipers
0.0271,Afrocarpus falcatus
0.0227,musa
0.0176,Daisy family
0.016,Polyscias
0.0153,Croton Tiglium
0.0146,Flindersia Australis
0.0105,bear oak
