S005728.BestBees,Common Name
0.0304,Clovers
0.029597624,Magnolias
0.023710505,Buckthorns
0.016635161,Low-hop clover
0.0158,Fir trees
0.0128,Grasses
0.0126,Sub-family of Daisey & sunflower family
0.01020794,magnolia-bark
