S011801,Common Name
0.1527,viburnums
0.0656,oaks
0.0522,Chinese tupelo
0.0345,rose sub-family
0.0286,chokecherries
0.0262,posion sumac
0.026,celastrus
0.0244,pea family sub-family
0.0239,poplar trees
0.0233,peacock family sub-family
0.0196,alders
0.0173,Sumac family
0.0165,catbriers
0.0133,pines
0.0126,cucumber family
0.0123,ericoideae
0.0103,stonefruits
0.0102,bear oak
