S011844.BestBees,Common Name
0.0852,cool season grasses
0.064,Clovers
0.0581,peacock flower sub-family 
0.0514,greater celandine
0.040153836,golden oat grass
0.039632358,Privets
0.028420572,Scotch elm
0.028094648,Chinese Tupelo
0.028029464,geraniums
0.0262,Cucurbit family
0.022423571,pussy willow
0.02105469,low hop clover
0.020207288,giant knotweed
0.015644352,panicled hydrangea
0.015448797,cheeseweed
0.014992504,Incarvillea sinensis
0.0146,Grapes family
0.0143,magnolias
0.014014732,prim
0.012189557,white bryony
0.012124373,burningbush
0.011342155,locusts
0.0108,oaks
0.0106,Sub-family of grass family
0.010168829,false poison sumac
