S011857.BestBees.1,Common Name
0.2088,Rose 
0.1734,Asteroideae
0.0686,clover
0.0295,Roses
0.0241,Buckthorns
0.0232,Perforate St.John's Wart
0.0197,Grape Vines
0.0195,Golden Rod
0.0157,Touch-Me-Not
0.0134,Asteraceae
