S005706,Common Name
0.1075,Cucurbit Family
0.1034,Peas sub-family
0.0947,Lindens
0.0739,European Aspen
0.0647,Grape Family
0.054,Wild hop
0.0234,Clovers
0.0204,Legumes family genus
0.0177,Plantains
0.0177,Privets
0.0141,Magnolias
0.0112,Low hop clover
0.011,Bryony species
0.0106,Peacock fmaily sub-family
0.0105,Beauty Berries
