BestBees_S011885.1,Common Name
0.1287,Pines
0.0945,Apple Sub-family
0.0838,Stonefruits
0.0663,Oaks
0.0564,Sumac
0.0484,Croton Kilwae
0.0482,Willow Family
0.0452,Clovers
0.0413,Redbuds
0.0392,Cucurbit Family
0.0369,White Sweet Clover
0.0334,Buckthorns
0.0308,White Bryony
0.0177,Bladder Campion
0.0163,Pecan
0.0112,Honeysuckles
