S017759,Common Name
0.1003,Washington robusta
0.0677,passionflowers
0.0552,Cucurbit family
0.0371,Grasses family
0.0355,figs
0.032,Xanthoceras sorbifolium
0.0224,Pedicularis cheilanthifolia
0.02,wild cabbage
0.0192,Myrtle family
0.0188,Brazilian peppertree
0.0144,mallows
0.0124,Erythrina
0.0122,palm family
0.3383,Unknown
