S017406,Common Name
0.127,asparagus
0.1133,pines
0.0652,Waterlilies
0.0493,trefoils or deervetches
0.0329,Oxygonum sinuatum
0.0309,buckthorns
0.0307,Melilotus albus
0.0249,"Legume, pea or bean family"
0.0232,dogbane family
0.0221,hollies
0.0199,rose family
0.0169,kratom
0.0159,muksmellon
0.0117,Privets
0.0111,lindens
0.0108,barleys
0.0102,Willows
0.0836,Unknown
