S011862,Common Name
0.1121,Maple
0.1024,Stonefruit
0.1018,Locusts
0.0882,Oaks
0.0583,Pine
0.0407,Honeysuckle
0.0336,Common Reed
0.0308,Japanese wax tree
0.0243,Grass Family
0.0164,Staff-vine Family
0.012,Buckwheats
0.0114,Styracaceae
0.0111,Walnut Family
